Log_NR,Location,LCZ_mixed,LCZ,3-type,LU_7-type
Log_401,Referenz 3m,D,D,rural,low green
Log_402,Referenz 2m,D,D,rural,low green
Log_403,Burgerwald,B,B,rural,forest
Log_404,Stockhorn Arena,8,8,urban,dense urban
Log_405,Thunerallmend,D,D,rural,low green
Log_406,KVA Parkplatz,8/E,8,urban,dense urban
Log_407,KVA Grünfläche,D/E,D,urban,low green
Log_408,Lerchenfeld,6,6,urban,green urban
Log_409,Scheibenstrasse,5,5,urban,green urban
Log_410,Lauenenweg,6,6,urban,green urban
Log_411,Spital,5/2,2,urban,dense urban
Log_412,Innenstadt,2,2,urban,dense urban
Log_413,Aarequai,G,G,water,water
Log_414,Busbahnhof,E/2,E,urban,dense urban
Log_415,Gleisfeld,E,E,urban,dense urban
Log_416,ESP Thun Bahnhof,E,E,urban,dense urban
Log_417,Bächihölzli,A,A,rural,forest
Log_418,Schadau,G/B,G,water,water
Log_419,Progymatte,D/E,E,urban,green urban
Log_420,Hohmad,6,6,urban,green urban
Log_421,Neufeld,6,6,urban,green urban
Log_422,Strandbad,D/E/G,G,water,water
Log_423,Schoren,8,8,urban,dense urban
Log_424,Buchholz,9,9,urban,rural
Log_425,Gwatt,6,6,rural,green urban
Log_426,Goldiwil,2,2,urban,rural
Log_427,Uttigenstrasse,8,8,urban,dense urban
Log_428,Expo,8/2,2,urban,dense urban
Log_429,SchönauWestquartier,5,5,urban,green urban
Log_430,Sportcluster,D,D,rural,low green
Log_431,Seefeld,6,6,urban,green urban
Log_432,Flühli,6,6,urban,green urban
Log_433,Zelgmatt,6,6,urban,green urban
Log_434,Unterdorfstrasse,5,5,urban,green urban
Log_435,Sägeweg,6,6,urban,green urban
Log_436,Burgergut,5,5,urban,green urban
Log_437,Hodelmatte,D,D,rural,low green
Log_438,Schwäbis,5/6,6,urban,green urban
